"Year","Source Name","ORIS Code","Unit ID","State","State Identifier","Control Period","Op Time","Op Hours","CO2 Mass (Tons)","Heat Input (mmBtu)","Eligible Biomass (Tons) (State Value)","Eligible CHP Thermal Output (Tons) (State Value)","Reporting Status"
2009,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2009 - 12/31/2011",320.37,466,"8,816.913","109,463",0.000,0.000,"Complete"
2010,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2009 - 12/31/2011",493.78,700,"13,298.557","165,437",0.000,0.000,"Complete"
2011,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2009 - 12/31/2011",564.91,778,"17,420.909","216,957",0.000,0.000,"Complete"
2012,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2012 - 12/31/2014",208.96,324,"5,289.988","70,888",0.000,0.000,"Complete"
2013,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2012 - 12/31/2014",292.71,449,"8,958.307","111,010",0.000,0.000,"Complete"
2014,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2012 - 12/31/2014",616.21,892,"19,050.855","236,292",0.000,0.000,"Complete"
2015,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2015 - 12/31/2017",657.88,916,"19,864.985","255,009",0.000,0.000,"Complete"
2016,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2015 - 12/31/2017",428.32,639,"12,993.180","166,685",0.000,0.000,"Complete"
2017,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2015 - 12/31/2017",661.36,872,"19,916.575","269,398",0.000,0.000,"Complete"
2018,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2018 - 12/31/2020",605.86,812,"17,662.234","243,671",0.000,0.000,"Complete"
2019,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2018 - 12/31/2020",126.38,234,"3,420.352","47,345",0.000,0.000,"Complete"
2020,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2018 - 12/31/2020",347.14,530,"9,750.459","128,701",0.000,0.000,"Complete"
2021,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2021 - 12/31/2023",237.88,386,"7,228.231","89,143",0.000,0.000,"Complete"
2022,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2021 - 12/31/2023",319.09,483,"9,680.856","121,498",0.000,0.000,"Complete"
2023,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2021 - 12/31/2023",257.13,418,"8,382.876","105,479",0.000,0.000,"Complete"
2024,"Devon",544,"11, 12, 13, 14, 15, 16, 17, 18","CT","105-14","01/01/2024 - 12/31/2026",164.98,294,"5,133.978","64,488",0.000,0.000,"Complete"
2009,"Montville",546,"5, 6","CT","107-5","01/01/2009 - 12/31/2011",428.26,452,"37,598.673","488,692",0.000,0.000,"Complete"
2010,"Montville",546,"5, 6","CT","107-5","01/01/2009 - 12/31/2011","1,477.51","1,539","94,974.059","1,306,118",0.000,0.000,"Complete"
2011,"Montville",546,"5, 6","CT","107-5","01/01/2009 - 12/31/2011",462.68,488,"29,822.296","403,889",0.000,0.000,"Complete"
2012,"Montville",546,"5, 6","CT","107-5","01/01/2012 - 12/31/2014",508.55,530,"32,971.112","437,919",0.000,0.000,"Complete"
2013,"Montville",546,"5, 6","CT","107-5","01/01/2012 - 12/31/2014",658.25,680,"30,946.440","382,378",0.000,0.000,"Complete"
2014,"Montville",546,"5, 6","CT","107-5","01/01/2012 - 12/31/2014",640.00,662,"50,624.194","631,333",0.000,0.000,"Complete"
2015,"Montville",546,"5, 6","CT","107-5","01/01/2015 - 12/31/2017",538.69,552,"61,545.877","760,508",0.000,0.000,"Complete"
2016,"Montville",546,"5, 6","CT","107-5","01/01/2015 - 12/31/2017",188.53,203,"14,476.580","183,690",0.000,0.000,"Complete"
2017,"Montville",546,"5, 6","CT","107-5","01/01/2015 - 12/31/2017",605.13,627,"46,601.902","607,856",0.000,0.000,"Complete"
2018,"Montville",546,"5, 6","CT","107-5","01/01/2018 - 12/31/2020",752.04,774,"84,318.533","1,079,347",0.000,0.000,"Complete"
2019,"Montville",546,"5, 6","CT","107-5","01/01/2018 - 12/31/2020",277.67,294,"9,937.320","146,264",0.000,0.000,"Complete"
2020,"Montville",546,"5, 6","CT","107-5","01/01/2018 - 12/31/2020",450.60,492,"20,825.821","294,037",0.000,0.000,"Complete"
2021,"Montville",546,"5, 6","CT","107-5","01/01/2021 - 12/31/2023",449.45,479,"28,892.429","392,709",0.000,0.000,"Complete"
2022,"Montville",546,"5, 6","CT","107-5","01/01/2021 - 12/31/2023","1,470.23","1,496","106,282.320","1,372,780",0.000,0.000,"Complete"
2023,"Montville",546,"5, 6","CT","107-5","01/01/2021 - 12/31/2023",600.63,619,"33,863.347","461,785",0.000,0.000,"Complete"
2024,"Montville",546,"5, 6","CT","107-5","01/01/2024 - 12/31/2026",548.82,575,"23,165.594","336,566",0.000,0.000,"Complete"
2009,"Norwalk Harbor Station",548,"1, 2","CT","137-14","01/01/2009 - 12/31/2011",762.44,794,"40,037.228","494,652",0.000,0.000,"Complete"
2010,"Norwalk Harbor Station",548,"1, 2","CT","137-14","01/01/2009 - 12/31/2011","1,812.73","1,878","79,355.764","980,457",0.000,0.000,"Complete"
2011,"Norwalk Harbor Station",548,"1, 2","CT","137-14","01/01/2009 - 12/31/2011",788.62,839,"29,794.375","368,109",0.000,0.000,"Complete"
2012,"Norwalk Harbor Station",548,"1, 2","CT","137-14","01/01/2012 - 12/31/2014",669.15,711,"25,028.604","309,241",0.000,0.000,"Complete"
2013,"Norwalk Harbor Station",548,"1, 2","CT","137-14","01/01/2012 - 12/31/2014",344.04,357,"20,398.163","252,017",0.000,0.000,"Complete"
2009,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2009 - 12/31/2011","1,839.31","1,916","138,706.313","2,007,685",0.000,0.000,"Complete"
2010,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2009 - 12/31/2011","3,864.75","3,981","293,961.399","4,514,303",0.000,0.000,"Complete"
2011,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2009 - 12/31/2011","1,637.09","1,793","98,389.585","1,447,041",0.000,0.000,"Complete"
2012,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2012 - 12/31/2014","2,392.38","2,495","151,335.782","2,413,433",0.000,0.000,"Complete"
2013,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2012 - 12/31/2014","1,809.64","2,076","111,514.632","1,600,765",0.000,0.000,"Complete"
2014,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2012 - 12/31/2014","2,683.23","2,912","204,283.777","2,951,743",0.000,0.000,"Complete"
2015,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2015 - 12/31/2017","4,538.55","4,765","317,500.104","4,945,766",0.000,0.000,"Complete"
2016,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2015 - 12/31/2017","3,496.90","3,670","193,468.789","3,168,564",0.000,0.000,"Complete"
2017,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2015 - 12/31/2017","3,140.16","3,317","174,645.222","2,739,123",0.000,0.000,"Complete"
2018,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2018 - 12/31/2020","4,028.56","4,173","284,503.253","4,441,053",0.000,0.000,"Complete"
2019,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2018 - 12/31/2020","2,437.98","2,571","135,860.375","2,276,346",0.000,0.000,"Complete"
2020,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2018 - 12/31/2020","3,584.54","3,694","211,537.738","3,437,152",0.000,0.000,"Complete"
2021,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2021 - 12/31/2023","2,511.93","2,659","122,934.834","2,007,247",0.000,0.000,"Complete"
2022,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2021 - 12/31/2023","2,526.17","2,643","198,291.156","2,691,613",0.000,0.000,"Complete"
2023,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2021 - 12/31/2023","2,020.31","2,147","132,970.481","2,057,298",0.000,0.000,"Complete"
2024,"Middletown",562,"12, 13, 14, 15, 2, 3, 4","CT","104-24","01/01/2024 - 12/31/2026",752.71,855,"45,076.354","619,453",0.000,0.000,"Complete"
2009,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2009 - 12/31/2011",172.00,172,"2,201.200","27,160",0.000,0.000,"Complete"
2010,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2009 - 12/31/2011",196.00,196,"2,733.400","33,738",0.000,0.000,"Complete"
2011,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2009 - 12/31/2011",208.00,208,"2,837.200","35,020",0.000,0.000,"Complete"
2012,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2012 - 12/31/2014",127.40,238,"2,005.400","24,760",0.000,0.000,"Complete"
2013,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2012 - 12/31/2014",197.24,394,"3,612.800","44,616",0.000,0.000,"Complete"
2014,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2012 - 12/31/2014",219.17,348,"4,511.600","55,693",0.000,0.000,"Complete"
2015,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2015 - 12/31/2017",120.48,259,"2,395.900","29,583",0.000,0.000,"Complete"
2016,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2015 - 12/31/2017",102.87,221,"1,982.600","24,473",0.000,0.000,"Complete"
2017,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2015 - 12/31/2017",78.60,210,"1,401.400","17,293",0.000,0.000,"Complete"
2018,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2018 - 12/31/2020",90.01,228,"1,694.500","20,919",0.000,0.000,"Complete"
2019,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2018 - 12/31/2020",118.60,240,"2,378.400","29,362",0.000,0.000,"Complete"
2020,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2018 - 12/31/2020",101.90,212,"1,812.200","22,377",0.000,0.000,"Complete"
2021,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2021 - 12/31/2023",106.91,261,"1,886.300","23,290",0.000,0.000,"Complete"
2022,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2021 - 12/31/2023",114.44,257,"2,213.100","27,323",0.000,0.000,"Complete"
2023,"South Meadow Station",563,"11A, 11B, 12A, 12B, 13A, 13B, 14A, 14B","CT","75-158","01/01/2021 - 12/31/2023",0.91,29,3.000,35,0.000,0.000,"Complete"
2009,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2009 - 12/31/2011","3,928.42","3,952","1,174,538.335","11,214,028",0.000,0.000,"Complete"
2010,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2009 - 12/31/2011","4,740.43","4,761","1,389,597.279","13,273,454",0.000,0.000,"Complete"
2011,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2009 - 12/31/2011","2,388.67","2,417","554,068.133","5,285,638",0.000,0.000,"Complete"
2012,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2012 - 12/31/2014",735.77,751,"156,454.144","1,491,744",0.000,0.000,"Complete"
2013,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2012 - 12/31/2014","2,547.65","2,559","765,427.358","7,298,148",0.000,0.000,"Complete"
2014,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2012 - 12/31/2014","2,955.81","2,964","910,431.528","8,680,700",0.000,0.000,"Complete"
2015,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2015 - 12/31/2017","2,100.60","2,117","692,802.542","6,605,666",0.000,0.000,"Complete"
2016,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2015 - 12/31/2017","1,051.18","1,067","242,327.339","2,310,510",0.000,0.000,"Complete"
2017,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2015 - 12/31/2017",971.35,983,"251,352.213","2,396,569",0.000,0.000,"Complete"
2018,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2018 - 12/31/2020","1,445.58","1,461","393,320.563","3,750,213",0.000,0.000,"Complete"
2019,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2018 - 12/31/2020","2,304.08","2,314","419,200.645","6,465,093",0.000,0.000,"Complete"
2020,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2018 - 12/31/2020","8,384.26","8,395","1,423,097.917","23,910,275",0.000,0.000,"Complete"
2021,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2021 - 12/31/2023","9,196.72","9,201","1,708,498.671","26,744,341",0.000,0.000,"Complete"
2022,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2021 - 12/31/2023","7,882.39","7,889","1,361,347.989","22,907,338",0.000,0.000,"Complete"
2023,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2021 - 12/31/2023","6,932.91","6,942","1,174,019.788","19,699,227",0.000,0.000,"Complete"
2024,"Bridgeport Harbor Station",568,"BHB1, BHB2, BHB3, BHB5","CT","15-45","01/01/2024 - 12/31/2026","7,773.36","7,777","1,360,016.283","22,880,835",0.000,0.000,"Complete"
2009,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2009 - 12/31/2011",45.00,46,720.200,"8,894",0.000,0.000,"Complete"
2010,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2009 - 12/31/2011",46.43,47,"1,009.900","12,470",0.000,0.000,"Complete"
2011,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2009 - 12/31/2011",13.49,20,449.600,"5,549",0.000,0.000,"Complete"
2012,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2012 - 12/31/2014",10.40,15,574.600,"7,094",0.000,0.000,"Complete"
2013,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2012 - 12/31/2014",10.80,12,193.600,"2,392",0.000,0.000,"Complete"
2014,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2012 - 12/31/2014",80.72,86,"3,475.500","42,906",0.000,0.000,"Complete"
2015,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2015 - 12/31/2017",54.93,58,"1,587.600","19,598",0.000,0.000,"Complete"
2016,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2015 - 12/31/2017",7.90,10,234.500,"2,896",0.000,0.000,"Complete"
2017,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2015 - 12/31/2017",12.10,14,343.900,"4,244",0.000,0.000,"Complete"
2018,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2018 - 12/31/2020",70.90,76,"2,219.100","27,372",0.000,0.000,"Complete"
2019,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2018 - 12/31/2020",20.90,25,569.400,"7,031",0.000,0.000,"Complete"
2020,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2018 - 12/31/2020",4.50,7,135.600,"1,675",0.000,0.000,"Complete"
2021,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2021 - 12/31/2023",11.77,16,353.500,"4,365",0.000,0.000,"Complete"
2022,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2021 - 12/31/2023",85.28,91,"2,815.700","34,783",0.000,0.000,"Complete"
2023,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2021 - 12/31/2023",27.88,35,893.200,"11,027",0.000,0.000,"Complete"
2024,"Christiana Substation",591,"11, 14","DE",1000300137,"01/01/2024 - 12/31/2026",25.84,28,867.100,"10,710",0.000,0.000,"Complete"
2009,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2009 - 12/31/2011","10,118.25","10,194","685,345.650","6,865,427",0.000,0.000,"Complete"
2010,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2009 - 12/31/2011","11,464.00","11,546","665,965.450","8,708,654",0.000,0.000,"Complete"
2011,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2009 - 12/31/2011","12,128.75","12,210","548,042.825","9,197,149",0.000,0.000,"Complete"
2012,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2012 - 12/31/2014","11,932.50","12,008","755,064.975","12,713,386",0.000,0.000,"Complete"
2013,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2012 - 12/31/2014","4,671.00","4,786","271,833.825","4,564,206",0.000,0.000,"Complete"
2014,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2012 - 12/31/2014","9,846.23","10,087","597,705.664","9,910,650",0.000,0.000,"Complete"
2015,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2015 - 12/31/2017","6,285.56","6,515","383,134.502","6,308,970",0.000,0.000,"Complete"
2016,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2015 - 12/31/2017","9,006.64","9,142","576,466.145","9,685,904",0.000,0.000,"Complete"
2017,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2015 - 12/31/2017","2,534.30","2,647","166,370.524","2,742,601",0.000,0.000,"Complete"
2018,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2018 - 12/31/2020","3,052.96","3,182","241,653.562","3,823,901",0.000,0.000,"Complete"
2019,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2018 - 12/31/2020","1,735.24","1,858","112,025.576","1,856,024",0.000,0.000,"Complete"
2020,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2018 - 12/31/2020","2,089.89","2,181","123,945.743","2,079,396",0.000,0.000,"Complete"
2021,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2021 - 12/31/2023","3,920.17","4,071","223,836.521","3,755,171",0.000,0.000,"Complete"
2022,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2021 - 12/31/2023","4,187.08","4,352","261,153.517","4,295,754",0.000,0.000,"Complete"
2023,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2021 - 12/31/2023","3,105.01","3,227","179,229.620","2,981,688",0.000,0.000,"Complete"
2024,"Edge Moor",593,"3, 4, 5","DE",1000300007,"01/01/2024 - 12/31/2026","4,333.29","4,520","254,130.727","4,196,759",0.000,0.000,"Complete"
2009,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2009 - 12/31/2011","16,661.25","16,784","2,345,073.700","22,856,557",0.000,0.000,"Complete"
2010,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2009 - 12/31/2011","16,088.75","16,171","2,342,049.025","22,827,008",0.000,0.000,"Complete"
2011,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2009 - 12/31/2011","10,641.75","10,713","1,602,430.400","15,618,233",0.000,0.000,"Complete"
2012,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2012 - 12/31/2014","10,007.25","10,069","1,502,778.750","14,646,985",0.000,0.000,"Complete"
2013,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2012 - 12/31/2014","8,801.75","8,840","1,630,927.875","15,896,024",0.000,0.000,"Complete"
2014,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2012 - 12/31/2014","3,697.45","3,729","877,251.239","8,550,175",0.000,0.000,"Complete"
2015,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2015 - 12/31/2017","2,545.39","2,577","627,477.964","6,115,758",0.000,0.000,"Complete"
2016,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2015 - 12/31/2017","2,207.66","2,228","527,384.463","5,140,208",0.000,0.000,"Complete"
2017,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2015 - 12/31/2017","1,842.29","1,868","398,762.540","3,886,581",0.000,0.000,"Complete"
2018,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2018 - 12/31/2020","1,643.85","1,677","313,243.195","3,053,058",0.000,0.000,"Complete"
2019,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2018 - 12/31/2020",836.27,849,"180,120.714","1,755,559",0.000,0.000,"Complete"
2020,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2018 - 12/31/2020",822.76,838,"163,735.061","1,595,860",0.000,0.000,"Complete"
2021,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2021 - 12/31/2023","1,767.12","1,804","385,657.816","3,758,854",0.000,0.000,"Complete"
2022,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2021 - 12/31/2023",901.33,924,"169,755.446","1,654,534",0.000,0.000,"Complete"
2023,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2021 - 12/31/2023",279.32,291,"31,534.174","307,360",0.000,0.000,"Complete"
2024,"Indian River",594,"1, 2, 3, 4","DE",1000500001,"01/01/2024 - 12/31/2026","1,106.18","1,133","229,804.275","2,239,813",0.000,0.000,"Complete"
2009,"McKee Run",599,3,"DE",1000100002,"01/01/2009 - 12/31/2011",153.07,163,"5,284.776","86,269",0.000,0.000,"Complete"
2010,"McKee Run",599,3,"DE",1000100002,"01/01/2009 - 12/31/2011",739.05,802,"29,286.784","488,652",0.000,0.000,"Complete"
2011,"McKee Run",599,3,"DE",1000100002,"01/01/2009 - 12/31/2011",432.19,458,"15,545.951","259,697",0.000,0.000,"Complete"
2012,"McKee Run",599,3,"DE",1000100002,"01/01/2012 - 12/31/2014",519.45,546,"15,264.581","256,853",0.000,0.000,"Complete"
2013,"McKee Run",599,3,"DE",1000100002,"01/01/2012 - 12/31/2014",306.95,322,"8,726.882","146,842",0.000,0.000,"Complete"
2014,"McKee Run",599,3,"DE",1000100002,"01/01/2012 - 12/31/2014","1,053.64","1,116","23,647.660","384,851",0.000,0.000,"Complete"
2015,"McKee Run",599,3,"DE",1000100002,"01/01/2015 - 12/31/2017",536.37,565,"9,565.947","149,975",0.000,0.000,"Complete"
2016,"McKee Run",599,3,"DE",1000100002,"01/01/2015 - 12/31/2017","1,005.79","1,054","24,139.337","394,860",0.000,0.000,"Complete"
2017,"McKee Run",599,3,"DE",1000100002,"01/01/2015 - 12/31/2017",272.43,293,"6,239.405","102,806",0.000,0.000,"Complete"
2018,"McKee Run",599,3,"DE",1000100002,"01/01/2018 - 12/31/2020",686.37,721,"20,393.352","326,740",0.000,0.000,"Complete"
2019,"McKee Run",599,3,"DE",1000100002,"01/01/2018 - 12/31/2020",115.89,135,"1,712.682","28,820",0.000,0.000,"Complete"
2020,"McKee Run",599,3,"DE",1000100002,"01/01/2018 - 12/31/2020",226.94,244,"3,798.229","63,914",0.000,0.000,"Complete"
2021,"McKee Run",599,3,"DE",1000100002,"01/01/2021 - 12/31/2023",3.97,7,15.013,252,0.000,0.000,"Complete"
2009,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2009 - 12/31/2011","14,201.88","14,217","6,860,722.390","66,868,630",0.000,0.000,"Complete"
2010,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2009 - 12/31/2011","14,204.63","14,241","6,329,727.781","61,693,321",0.000,0.000,"Complete"
2011,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2009 - 12/31/2011","14,528.64","14,546","6,610,419.074","64,429,106",0.000,0.000,"Complete"
2012,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2012 - 12/31/2014","11,511.64","11,525","5,322,511.886","51,876,286",0.000,0.000,"Complete"
2013,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2012 - 12/31/2014","13,288.07","13,306","5,452,082.252","53,139,234",0.000,0.000,"Complete"
2014,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2012 - 12/31/2014","11,996.60","12,018","5,597,267.314","54,554,288",0.000,0.000,"Complete"
2015,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2015 - 12/31/2017","12,876.15","12,892","5,772,375.342","56,261,022",0.000,0.000,"Complete"
2016,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2015 - 12/31/2017","12,150.74","12,172","5,567,269.523","54,261,919",0.000,0.000,"Complete"
2017,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2015 - 12/31/2017","9,786.30","9,801","4,545,200.596","44,300,185",0.000,0.000,"Complete"
2018,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2018 - 12/31/2020","11,455.91","11,476","5,523,415.414","53,834,460",0.000,0.000,"Complete"
2019,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2018 - 12/31/2020","7,485.42","7,508","2,822,330.120","27,508,051",0.000,0.000,"Complete"
2020,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2018 - 12/31/2020","3,650.03","3,681","1,250,397.931","12,187,110",0.000,0.000,"Complete"
2021,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2021 - 12/31/2023","7,032.84","7,077","2,846,844.041","27,747,041",0.000,0.000,"Complete"
2022,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2021 - 12/31/2023","6,405.13","6,435","2,426,032.543","23,645,547",0.000,0.000,"Complete"
2023,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2021 - 12/31/2023","4,477.49","4,504","1,351,803.856","13,175,463",0.000,0.000,"Complete"
2024,"Brandon Shores",602,"1, 2","MD",000602,"01/01/2024 - 12/31/2026","7,634.67","7,673","2,697,707.987","26,293,444",0.000,0.000,"Complete"
2009,"William F Wyman",1507,"1, 2, 3, 4","ME","A-388","01/01/2009 - 12/31/2011","3,043.94","3,254","242,370.257","2,776,299",0.000,0.000,"Complete"
2010,"William F Wyman",1507,"1, 2, 3, 4","ME","A-388","01/01/2009 - 12/31/2011","5,075.59","5,465","198,691.014","2,263,161",0.000,0.000,"Complete"
2011,"William F Wyman",1507,"1, 2, 3, 4","ME","A-388","01/01/2009 - 12/31/2011","2,932.57","3,177","107,641.962","1,226,971",0.000,0.000,"Complete"
